order_item_id,order_id,product_id,item_number,quantity,unit_price,subtotal,discount_amount,shipping_subsidy,voucher_amount,total_payment,estimated_cost,profit,is_returned,is_cancelled,loaded_at
1,1,346,1,1,471392,471392,23570,0,0,447822,313110,134712,True,False,2026-05-25 04:22:10.045703
2,2,7,1,2,960411,1920822,57625,33205,0,1863197,1198748,631244,False,False,2026-05-25 04:22:10.045703
3,2,237,2,1,971523,971523,77722,16795,0,893801,763059,113947,False,False,2026-05-25 04:22:10.045703
4,3,7,1,1,1048218,1048218,31447,0,0,1016771,599374,417397,True,False,2026-05-25 04:22:10.045703
5,3,77,2,3,1462008,4386024,219301,0,0,4166723,2221311,1945412,True,False,2026-05-25 04:22:10.045703
6,4,304,1,1,205172,205172,16414,0,0,188758,158491,30267,False,True,2026-05-25 04:22:10.045703
7,4,4,2,1,105471,105471,0,0,0,105471,83487,21984,False,True,2026-05-25 04:22:10.045703
8,5,1,1,1,5606210,5606210,0,0,0,5606210,4693915,912295,False,False,2026-05-25 04:22:10.045703
9,6,182,1,1,1526955,1526955,122156,0,152696,1252103,1285575,-33472,False,False,2026-05-25 04:22:10.045703
10,6,24,2,1,228536,228536,18283,0,22854,187399,173358,14041,False,False,2026-05-25 04:22:10.045703
11,6,8,3,1,419621,419621,0,0,41962,377659,247062,130597,False,False,2026-05-25 04:22:10.045703
12,6,13,4,1,914883,914883,73191,0,91488,750204,667348,82856,False,False,2026-05-25 04:22:10.045703
13,6,345,5,2,843261,1686522,50596,0,168652,1467274,1139260,328014,False,False,2026-05-25 04:22:10.045703
14,7,162,1,2,203420,406840,0,50000,0,406840,204926,151914,False,False,2026-05-25 04:22:10.045703
15,8,40,1,3,209114,627342,0,604,0,627342,463701,163037,False,True,2026-05-25 04:22:10.045703
16,8,1,2,2,5920302,11840604,0,11396,0,11840604,9387830,2441378,False,True,2026-05-25 04:22:10.045703
17,9,1,1,1,6284494,6284494,628449,0,0,5656045,4693915,962130,False,False,2026-05-25 04:22:10.045703
18,9,132,2,1,95865,95865,9586,0,0,86279,71145,15134,False,False,2026-05-25 04:22:10.045703
19,9,138,3,1,53352,53352,1601,0,0,51751,34255,17496,False,False,2026-05-25 04:22:10.045703
20,9,1,4,2,6430992,12861984,0,0,0,12861984,9387830,3474154,False,False,2026-05-25 04:22:10.045703
21,10,7,1,2,980255,1960510,196051,0,196051,1568408,1198748,369660,False,True,2026-05-25 04:22:10.045703
