order_id,order_number,customer_id,order_ts,order_status,cancellation_stage,payment_method_id,shipping_service_id,voucher_id,sales_channel,currency,loaded_at
1,ORD-20220403-00000001,160,2022-04-03 16:37:36,returned,,1,3,1,web,IDR,2026-05-25 04:22:10.045703
2,ORD-20240414-00000002,2401,2024-04-14 18:57:15,delivered,,1,5,3,web,IDR,2026-05-25 04:22:10.045703
3,ORD-20251009-00000003,2257,2025-10-09 14:06:42,returned,,1,3,1,web,IDR,2026-05-25 04:22:10.045703
4,ORD-20250403-00000004,234,2025-04-03 18:40:52,cancelled,paid,2,1,1,web,IDR,2026-05-25 04:22:10.045703
5,ORD-20220103-00000005,185,2022-01-03 16:39:31,delivered,,3,5,1,web,IDR,2026-05-25 04:22:10.045703
6,ORD-20220410-00000006,2053,2022-04-10 15:05:32,delivered,,2,6,2,web,IDR,2026-05-25 04:22:10.045703
7,ORD-20250516-00000007,234,2025-05-16 09:59:29,delivered,,2,2,3,web,IDR,2026-05-25 04:22:10.045703
8,ORD-20231230-00000008,2283,2023-12-30 21:22:45,cancelled,packed,4,4,3,web,IDR,2026-05-25 04:22:10.045703
9,ORD-20230426-00000009,598,2023-04-26 11:08:38,delivered,,1,5,1,web,IDR,2026-05-25 04:22:10.045703
10,ORD-20251231-00000010,1792,2025-12-31 09:24:42,cancelled,placed,2,3,2,web,IDR,2026-05-25 04:22:10.045703
11,ORD-20230417-00000011,1283,2023-04-17 17:51:19,delivered,,2,4,3,web,IDR,2026-05-25 04:22:10.045703
12,ORD-20250329-00000012,2344,2025-03-29 09:23:08,delivered,,1,1,1,web,IDR,2026-05-25 04:22:10.045703
13,ORD-20240209-00000013,402,2024-02-09 17:31:20,delivered,,2,3,1,web,IDR,2026-05-25 04:22:10.045703
14,ORD-20241204-00000014,847,2024-12-04 04:37:15,delivered,,1,1,1,web,IDR,2026-05-25 04:22:10.045703
15,ORD-20240205-00000015,244,2024-02-05 17:44:48,delivered,,1,6,1,web,IDR,2026-05-25 04:22:10.045703
16,ORD-20241203-00000016,2482,2024-12-03 08:41:18,cancelled,placed,1,2,1,web,IDR,2026-05-25 04:22:10.045703
17,ORD-20240521-00000017,9,2024-05-21 07:07:07,cancelled,packed,1,4,1,web,IDR,2026-05-25 04:22:10.045703
18,ORD-20221214-00000018,1584,2022-12-14 17:08:18,delivered,,2,5,2,web,IDR,2026-05-25 04:22:10.045703
19,ORD-20220623-00000019,2453,2022-06-23 12:48:15,delivered,,2,4,1,web,IDR,2026-05-25 04:22:10.045703
20,ORD-20220101-00000020,2488,2022-01-01 13:39:54,delivered,,1,3,3,web,IDR,2026-05-25 04:22:10.045703
21,ORD-20230322-00000021,1086,2023-03-22 00:30:14,delivered,,2,1,3,web,IDR,2026-05-25 04:22:10.045703
22,ORD-20240406-00000022,422,2024-04-06 19:32:23,delivered,,1,4,4,web,IDR,2026-05-25 04:22:10.045703
23,ORD-20250807-00000023,1028,2025-08-07 18:05:05,delivered,,4,2,3,web,IDR,2026-05-25 04:22:10.045703
24,ORD-20251222-00000024,998,2025-12-22 21:58:48,shipped,,2,2,3,web,IDR,2026-05-25 04:22:10.045703
25,ORD-20231211-00000025,203,2023-12-11 01:43:10,cancelled,paid,3,5,1,web,IDR,2026-05-25 04:22:10.045703
26,ORD-20240301-00000026,869,2024-03-01 23:41:47,delivered,,3,2,1,web,IDR,2026-05-25 04:22:10.045703
27,ORD-20240715-00000027,1115,2024-07-15 03:59:50,delivered,,3,6,2,web,IDR,2026-05-25 04:22:10.045703
28,ORD-20241217-00000028,1216,2024-12-17 18:23:34,delivered,,2,6,1,web,IDR,2026-05-25 04:22:10.045703
29,ORD-20220714-00000029,91,2022-07-14 21:44:34,cancelled,packed,1,2,1,web,IDR,2026-05-25 04:22:10.045703
30,ORD-20251221-00000030,1713,2025-12-21 09:58:24,delivered,,3,4,1,web,IDR,2026-05-25 04:22:10.045703
31,ORD-20250529-00000031,1814,2025-05-29 22:35:36,delivered,,4,1,1,web,IDR,2026-05-25 04:22:10.045703
32,ORD-20230224-00000032,1584,2023-02-24 06:47:53,delivered,,1,1,2,web,IDR,2026-05-25 04:22:10.045703
33,ORD-20240822-00000033,2049,2024-08-22 23:09:04,delivered,,2,8,1,web,IDR,2026-05-25 04:22:10.045703
34,ORD-20240903-00000034,487,2024-09-03 16:20:07,delivered,,4,7,1,web,IDR,2026-05-25 04:22:10.045703
35,ORD-20221105-00000035,769,2022-11-05 00:02:40,delivered,,3,4,4,web,IDR,2026-05-25 04:22:10.045703
36,ORD-20230322-00000036,2413,2023-03-22 20:18:21,delivered,,2,3,1,web,IDR,2026-05-25 04:22:10.045703
37,ORD-20220421-00000037,1090,2022-04-21 14:34:18,returned,,2,1,1,web,IDR,2026-05-25 04:22:10.045703
38,ORD-20251231-00000038,2048,2025-12-31 09:08:32,paid,,3,3,3,web,IDR,2026-05-25 04:22:10.045703
39,ORD-20250920-00000039,275,2025-09-20 05:30:11,delivered,,1,6,1,web,IDR,2026-05-25 04:22:10.045703
40,ORD-20221229-00000040,1837,2022-12-29 13:40:03,delivered,,2,8,2,web,IDR,2026-05-25 04:22:10.045703
41,ORD-20250605-00000041,1362,2025-06-05 06:30:40,delivered,,3,5,3,web,IDR,2026-05-25 04:22:10.045703
42,ORD-20220412-00000042,662,2022-04-12 23:07:40,delivered,,4,3,1,web,IDR,2026-05-25 04:22:10.045703
43,ORD-20250128-00000043,823,2025-01-28 17:13:18,delivered,,1,4,2,web,IDR,2026-05-25 04:22:10.045703
44,ORD-20241228-00000044,904,2024-12-28 12:15:04,delivered,,2,4,1,web,IDR,2026-05-25 04:22:10.045703
45,ORD-20250120-00000045,1969,2025-01-20 12:02:22,delivered,,1,1,2,web,IDR,2026-05-25 04:22:10.045703
46,ORD-20240528-00000046,729,2024-05-28 11:26:11,delivered,,3,5,1,web,IDR,2026-05-25 04:22:10.045703
47,ORD-20220616-00000047,1447,2022-06-16 04:47:08,returned,,2,1,1,web,IDR,2026-05-25 04:22:10.045703
48,ORD-20251209-00000048,1006,2025-12-09 14:39:33,delivered,,2,6,1,web,IDR,2026-05-25 04:22:10.045703
49,ORD-20231101-00000049,267,2023-11-01 10:07:25,delivered,,4,4,2,web,IDR,2026-05-25 04:22:10.045703
50,ORD-20231021-00000050,1029,2023-10-21 05:23:16,delivered,,1,1,3,web,IDR,2026-05-25 04:22:10.045703
51,ORD-20241105-00000051,2488,2024-11-05 08:16:01,delivered,,1,3,1,web,IDR,2026-05-25 04:22:10.045703
52,ORD-20240623-00000052,1284,2024-06-23 21:04:24,cancelled,paid,1,1,3,web,IDR,2026-05-25 04:22:10.045703
53,ORD-20250101-00000053,1157,2025-01-01 22:56:15,delivered,,2,4,1,web,IDR,2026-05-25 04:22:10.045703
54,ORD-20231011-00000054,1693,2023-10-11 07:10:14,delivered,,2,4,1,web,IDR,2026-05-25 04:22:10.045703
55,ORD-20230624-00000055,465,2023-06-24 06:39:51,delivered,,4,6,1,web,IDR,2026-05-25 04:22:10.045703
