payment_id,order_id,payment_ts,payment_method_id,payment_status,payment_amount,transaction_reference,loaded_at
1,1,2022-04-03 18:08:36,1,refunded,447822,PAY-30D3619725CD4D44,2026-05-25 04:22:10.045703
2,2,2024-04-14 20:35:15,1,paid,2756998,PAY-BDE02325A9BB4832,2026-05-25 04:22:10.045703
3,3,2025-10-09 14:51:42,1,refunded,5183494,PAY-07CC07E9E3A64DAA,2026-05-25 04:22:10.045703
4,4,2025-04-03 19:35:52,2,paid,294229,PAY-98839E160E344658,2026-05-25 04:22:10.045703
5,5,2022-01-03 16:48:31,3,paid,5606210,PAY-D9F4984CE6A7476A,2026-05-25 04:22:10.045703
6,6,2022-04-10 15:17:32,2,paid,4034639,PAY-B7E971F3B8BD47FA,2026-05-25 04:22:10.045703
7,7,2025-05-16 10:25:29,2,paid,406840,PAY-2F1FE72542CD4B77,2026-05-25 04:22:10.045703
8,8,2023-12-30 21:23:45,4,paid,12467946,PAY-1B94B23BAD8541EF,2026-05-25 04:22:10.045703
9,9,2023-04-26 12:47:38,1,paid,18656059,PAY-D6D85FA8738D4BE7,2026-05-25 04:22:10.045703
10,10,2025-12-31 10:21:42,2,cancelled,30228165,PAY-4CB469F787034DCC,2026-05-25 04:22:10.045703
11,11,2023-04-17 19:38:19,2,paid,2041300,PAY-897A86991A844415,2026-05-25 04:22:10.045703
12,12,2025-03-29 09:51:08,1,paid,1641411,PAY-44A03A242A924288,2026-05-25 04:22:10.045703
13,13,2024-02-09 18:24:20,2,paid,7106144,PAY-8E66F9B18AE84062,2026-05-25 04:22:10.045703
14,14,2024-12-04 05:28:15,1,paid,5180337,PAY-8CA24FA1EABC4D44,2026-05-25 04:22:10.045703
15,15,2024-02-05 18:32:48,1,paid,1862827,PAY-092FF34CF3D341F9,2026-05-25 04:22:10.045703
16,16,2024-12-03 10:41:18,1,cancelled,3675106,PAY-204ED694B9D149F9,2026-05-25 04:22:10.045703
17,17,2024-05-21 08:20:07,1,paid,1375528,PAY-700431330E024C48,2026-05-25 04:22:10.045703
18,18,2022-12-14 17:47:18,2,paid,7167305,PAY-343A08D052634F47,2026-05-25 04:22:10.045703
19,19,2022-06-23 13:22:15,2,paid,3173867,PAY-FC8B5331748B41A7,2026-05-25 04:22:10.045703
20,20,2022-01-01 15:37:54,1,paid,6449110,PAY-459F8C4C12CC42A2,2026-05-25 04:22:10.045703
21,21,2023-03-22 01:37:14,2,paid,996530,PAY-D52D1B1117B64C0F,2026-05-25 04:22:10.045703
22,22,2024-04-06 20:35:23,1,paid,8379755,PAY-F4814C426CF94C8E,2026-05-25 04:22:10.045703
23,23,2025-08-07 19:07:05,4,paid,17370226,PAY-0140075A0CCC4DF8,2026-05-25 04:22:10.045703
24,24,2025-12-22 23:09:48,2,paid,17226435,PAY-7D96E4BC3DE3445D,2026-05-25 04:22:10.045703
25,25,2023-12-11 01:53:10,3,paid,6862358,PAY-7577397853E24DC1,2026-05-25 04:22:10.045703
26,26,2024-03-02 00:03:47,3,paid,1153311,PAY-E07FBAC00E054F06,2026-05-25 04:22:10.045703
27,27,2024-07-15 04:55:50,3,paid,1423183,PAY-336DA1141AD14162,2026-05-25 04:22:10.045703
28,28,2024-12-17 18:31:34,2,paid,6658282,PAY-3B0C8FBF9E8C4764,2026-05-25 04:22:10.045703
29,29,2022-07-14 23:13:34,1,paid,3898338,PAY-F77280FE875546CC,2026-05-25 04:22:10.045703
30,30,2025-12-21 10:35:24,3,paid,14359666,PAY-537B14FE2D35405F,2026-05-25 04:22:10.045703
31,31,2025-05-29 22:53:36,4,paid,769881,PAY-30AC708AE97A4D8B,2026-05-25 04:22:10.045703
32,32,2023-02-24 08:33:53,1,paid,3624755,PAY-FA96FD31BB524A7A,2026-05-25 04:22:10.045703
33,33,2024-08-22 23:31:04,2,paid,11922590,PAY-0F6FF3683BF24D13,2026-05-25 04:22:10.045703
34,34,2024-09-03 16:23:07,4,paid,1310536,PAY-AE0665DC375F42AF,2026-05-25 04:22:10.045703
35,35,2022-11-05 01:57:40,3,paid,5909651,PAY-DCC1E88124634415,2026-05-25 04:22:10.045703
