shipment_id,order_id,shipping_service_id,checkout_ts,shipped_ts,delivered_ts,shipping_fee,shipping_subsidy,is_delayed,shipping_status,tracking_number,loaded_at
1,1,3,2022-04-03 16:37:36,2022-04-04 16:20:36,2022-04-13 16:20:36,25000,0,True,delivered,TRK38298410,2026-05-25 04:22:10.045703
2,2,5,2024-04-14 18:57:15,2024-04-16 02:09:15,2024-04-17 02:09:15,50000,50000,False,delivered,TRK25161729,2026-05-25 04:22:10.045703
3,3,3,2025-10-09 14:06:42,2025-10-11 15:33:42,2025-10-18 15:33:42,25000,0,True,delivered,TRK74439272,2026-05-25 04:22:10.045703
4,4,1,2025-04-03 18:40:52,,,15000,0,False,cancelled,,2026-05-25 04:22:10.045703
5,5,5,2022-01-03 16:39:31,2022-01-05 10:02:31,2022-01-08 10:02:31,15000,0,False,delivered,TRK19129265,2026-05-25 04:22:10.045703
6,6,6,2022-04-10 15:05:32,2022-04-12 15:23:32,2022-04-14 15:23:32,25000,0,False,delivered,TRK48522773,2026-05-25 04:22:10.045703
7,7,2,2025-05-16 09:59:29,2025-05-17 14:07:29,2025-05-21 14:07:29,50000,50000,True,delivered,TRK52612127,2026-05-25 04:22:10.045703
8,8,4,2023-12-30 21:22:45,,,12000,12000,False,cancelled,,2026-05-25 04:22:10.045703
9,9,5,2023-04-26 11:08:38,2023-04-27 09:13:38,2023-05-07 09:13:38,25000,0,True,delivered,TRK16439610,2026-05-25 04:22:10.045703
10,10,3,2025-12-31 09:24:42,,,18000,0,False,cancelled,,2026-05-25 04:22:10.045703
11,11,4,2023-04-17 17:51:19,2023-04-19 20:37:19,2023-04-21 20:37:19,18000,18000,False,delivered,TRK27203349,2026-05-25 04:22:10.045703
12,12,1,2025-03-29 09:23:08,2025-03-30 17:18:08,2025-04-02 17:18:08,35000,0,False,delivered,TRK24049295,2026-05-25 04:22:10.045703
13,13,3,2024-02-09 17:31:20,2024-02-11 03:31:20,2024-02-22 03:31:20,50000,0,True,delivered,TRK71430755,2026-05-25 04:22:10.045703
14,14,1,2024-12-04 04:37:15,2024-12-05 07:12:15,2024-12-10 07:12:15,50000,0,False,delivered,TRK18293418,2026-05-25 04:22:10.045703
15,15,6,2024-02-05 17:44:48,2024-02-07 10:40:48,2024-02-12 10:40:48,15000,0,False,delivered,TRK35680617,2026-05-25 04:22:10.045703
16,16,2,2024-12-03 08:41:18,,,15000,0,False,cancelled,,2026-05-25 04:22:10.045703
17,17,4,2024-05-21 07:07:07,,,35000,0,False,cancelled,,2026-05-25 04:22:10.045703
18,18,5,2022-12-14 17:08:18,2022-12-16 02:38:18,2022-12-21 02:38:18,25000,0,False,delivered,TRK78854791,2026-05-25 04:22:10.045703
19,19,4,2022-06-23 12:48:15,2022-06-24 23:59:15,2022-06-26 23:59:15,35000,0,False,delivered,TRK89061448,2026-05-25 04:22:10.045703
20,20,3,2022-01-01 13:39:54,2022-01-03 03:24:54,2022-01-09 03:24:54,50000,50000,True,delivered,TRK65661432,2026-05-25 04:22:10.045703
21,21,1,2023-03-22 00:30:14,2023-03-22 11:31:14,2023-03-27 11:31:14,12000,12000,False,delivered,TRK82662578,2026-05-25 04:22:10.045703
22,22,4,2024-04-06 19:32:23,2024-04-08 00:07:23,2024-04-18 00:07:23,9000,0,True,delivered,TRK36901516,2026-05-25 04:22:10.045703
23,23,2,2025-08-07 18:05:05,2025-08-09 06:05:05,2025-08-16 06:05:05,25000,25000,True,delivered,TRK43586600,2026-05-25 04:22:10.045703
24,24,2,2025-12-22 21:58:48,2025-12-24 08:20:48,2025-12-26 08:20:48,25000,25000,False,delivered,TRK13172077,2026-05-25 04:22:10.045703
25,25,5,2023-12-11 01:43:10,,,9000,0,False,cancelled,,2026-05-25 04:22:10.045703
26,26,2,2024-03-01 23:41:47,2024-03-03 19:18:47,2024-03-08 19:18:47,15000,0,True,delivered,TRK92227712,2026-05-25 04:22:10.045703
27,27,6,2024-07-15 03:59:50,2024-07-16 17:36:50,2024-07-23 17:36:50,35000,0,True,delivered,TRK27682466,2026-05-25 04:22:10.045703
